Player,2008,2009,2010,2011,2012,2013,2014,2015,2018,2019,2020,2021,2022,2023,2024,2025,2016,2017
Munaf Patel,RR,RR,RR,MI,MI,MI,na,na,na,na,na,na,na,na,na,na,na,Gujarat Lions
Basil Thampi,na,na,na,na,na,na,na,na,SRH,SRH,SRH,na,MI,na,na,na,na,Gujarat Lions
Hardik Pandya,na,na,na,na,na,na,na,MI,MI,MI,MI,MI,Gujarat Titans,Gujarat Titans,MI,MI,MI,MI
Rashid Khan,na,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,Gujarat Titans,Gujarat Titans,Gujarat Titans,GT,na,SRH
Shubman Gill,na,na,na,na,na,na,na,na,KKR,KKR,KKR,KKR,Gujarat Titans,Gujarat Titans,Gujarat Titans,GT,na,na
Lockie Ferguson,na,na,na,na,na,na,na,na,na,KKR,KKR,KKR,Gujarat Titans,KKR,RCB,na,na,Rising Pune Supergiant
David Miller,na,na,na,na,na,KXIP,KXIP,KXIP,KXIP,KXIP,RR,RR,Gujarat Titans,Gujarat Titans,Gujarat Titans,LSG,KXIP,KXIP
Kane Williamson,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,SRH,SRH,Gujarat Titans,Gujarat Titans,na,SRH,SRH
Shivam Mavi,na,na,na,na,na,na,na,na,KKR,KKR,KKR,KKR,KKR,Gujarat Titans,Lucknow Super Giants,na,na,na
Shahrukh Khan,na,na,na,na,na,na,na,na,na,na,na,PBKS,PBKS,PBKS,Gujarat Titans,GT,na,na
Jos Buttler,na,na,na,na,na,na,na,na,RR,RR,RR,RR,RR,RR,RR,GT,MI,MI
Anuj Rawat,na,na,na,na,na,na,na,na,na,na,RR,RR,RCB,RCB,RCB,GT,na,na
Glenn Phillips,na,na,na,na,na,na,na,na,na,na,na,RR,SRH,SRH,SRH,GT,na,na
Washington Sundar,na,na,na,na,na,na,na,na,RCB,RCB,RCB,RCB,SRH,SRH,SRH,GT,na,Rising Pune Supergiant
Mohammed Siraj,na,na,na,na,na,na,na,na,RCB,RCB,RCB,RCB,RCB,RCB,RCB,GT,na,SRH
Prasidh Krishna,na,na,na,na,na,na,na,na,KKR,KKR,na,KKR,RR,RR,RR,GT,na,na
Kulwant Khejroliya,na,na,na,na,na,na,na,na,RCB,RCB,na,na,na,KKR,na,GT,na,MI
Shaun Marsh,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,na,na,na,na,na,na,na,na,KXIP,KXIP
Rishi Dhawan,KXIP,na,na,na,na,MI,KXIP,KXIP,na,na,na,na,PBKS,PBKS,PBKS,na,KXIP,KKR
Brett Lee,KXIP,KXIP,KXIP,KKR,KKR,KKR,na,na,na,na,na,na,na,na,na,na,na,na
Vikramjeet Malik,na,KXIP,KXIP,KXIP,na,RR,RR,RR,na,na,na,na,na,na,na,na,RCB,na
Bipul Sharma,na,na,KXIP,KXIP,KXIP,KXIP,na,SRH,SRH,na,na,na,na,na,na,na,SRH,SRH
Abhishek Nayar,MI,MI,MI,KXIP,na,Pune Warriors India,RR,RR,na,na,na,na,na,na,na,na,na,na
Dimitri Mascarenhas,RR,RR,RR,KXIP,KXIP,KXIP,na,na,na,na,na,na,na,na,na,na,na,na
Nitish Rana,na,na,na,na,KXIP,na,na,MI,KKR,KKR,KKR,KKR,KKR,KKR,KKR,RR,MI,MI
Manan Vohra,na,na,na,na,na,KXIP,KXIP,KXIP,RCB,RR,RR,RR,Lucknow Super Giants,Lucknow Super Giants,na,na,KXIP,KXIP
Sandeep Sharma,na,na,na,na,na,KXIP,KXIP,KXIP,SRH,SRH,SRH,SRH,PBKS,na,RR,RR,KXIP,KXIP
Thisara Perera,na,na,na,Kochi Tuskers Kerala,MI,SRH,KXIP,KXIP,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
Mitchell Johnson,na,na,na,na,na,MI,KXIP,KXIP,KKR,na,na,na,na,na,na,na,KXIP,MI
Murali Kartik,KKR,KKR,KKR,Pune Warriors India,Pune Warriors India,RCB,KXIP,na,na,na,na,na,na,na,na,na,na,na
Anureet Singh,na,KKR,na,na,na,na,KXIP,KXIP,RR,na,na,na,na,na,na,na,KXIP,KXIP
Swapnil Singh,MI,na,na,na,na,na,na,na,na,na,na,na,na,Lucknow Super Giants,RCB,RCB,KXIP,KXIP
KC Cariappa,na,na,na,na,na,na,na,KKR,na,KKR,na,na,RR,RR,na,na,KXIP,KXIP
Eoin Morgan,na,na,RCB,KKR,KKR,KKR,na,SRH,na,na,KKR,KKR,na,na,na,na,SRH,KXIP
Rinku Singh,na,na,na,na,na,na,na,na,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,na,KXIP
Chris Gayle,KKR,KKR,KKR,RCB,RCB,RCB,RCB,RCB,KXIP,KXIP,KXIP,PBKS,na,na,na,na,RCB,RCB
Barinder Sran,na,na,na,na,na,na,na,RR,KXIP,MI,na,na,na,na,na,na,SRH,SRH
Mujeeb Ur Rahman,na,na,na,na,na,na,na,na,KXIP,KXIP,KXIP,SRH,na,na,KKR,MI,na,na
Nicholas Pooran,na,na,na,na,na,na,na,na,na,KXIP,KXIP,PBKS,SRH,Lucknow Super Giants,Lucknow Super Giants,LSG,na,MI
Varun Chakravarthy,na,na,na,na,na,na,na,na,na,KXIP,na,KKR,na,KKR,KKR,KKR,na,na
Harpreet Brar,na,na,na,na,na,na,na,na,na,KXIP,na,PBKS,PBKS,PBKS,PBKS,na,na,na
Prabhsimran Singh,na,na,na,na,na,na,na,na,na,KXIP,KXIP,PBKS,PBKS,PBKS,PBKS,PBKS,na,na
Arshdeep Singh,na,na,na,na,na,na,na,na,na,KXIP,KXIP,PBKS,PBKS,PBKS,PBKS,na,na,na
Ravi Bishnoi,na,na,na,na,na,na,na,na,na,na,KXIP,PBKS,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,LSG,na,na
Jagadeesha Suchith,na,na,na,na,na,na,na,MI,na,na,KXIP,SRH,na,na,na,na,MI,MI
Brad Hodge,KKR,KKR,KKR,Kochi Tuskers Kerala,RR,RR,RR,na,na,na,na,na,na,na,na,na,na,na
Steven Smith,na,na,RCB,Kochi Tuskers Kerala,Pune Warriors India,Pune Warriors India,RR,RR,na,na,na,na,na,na,na,na,na,na
Sourav Ganguly,KKR,KKR,KKR,Pune Warriors India,Pune Warriors India,na,na,na,na,na,na,na,na,na,na,na,na,na
Debabrata Das,KKR,KKR,na,na,KKR,KKR,KKR,KKR,na,na,na,na,na,na,na,na,na,na
Iqbal Abdulla,KKR,KKR,KKR,KKR,KKR,KKR,RR,RCB,na,na,na,na,na,na,na,na,na,RCB
Jacques Kallis,RCB,RCB,RCB,KKR,KKR,KKR,KKR,na,na,na,na,na,na,na,na,na,na,na
Yusuf Pathan,RR,RR,RR,KKR,KKR,KKR,KKR,KKR,SRH,SRH,na,na,na,na,na,na,KKR,KKR
Shakib Al Hasan,na,na,na,KKR,KKR,KKR,KKR,KKR,SRH,SRH,na,KKR,na,na,na,na,KKR,KKR
Ryan ten Doeschate,na,na,na,KKR,KKR,KKR,KKR,KKR,na,na,na,na,na,na,na,na,na,na
Shreevats Goswami,RCB,RCB,RCB,KKR,RR,RR,na,na,SRH,SRH,na,SRH,na,na,na,na,na,na
Sunil Narine,na,na,na,na,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Sumit Narwal,na,na,RR,RR,RR,KKR,na,KKR,na,na,na,na,na,na,na,na,na,na
Suryakumar Yadav,na,na,na,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,KKR,KKR
Vinay Kumar,RCB,RCB,RCB,na,RCB,RCB,KKR,MI,KKR,na,na,na,na,na,na,na,MI,MI
Sheldon Jackson,na,na,na,na,na,RCB,na,KKR,na,na,na,KKR,KKR,na,na,na,KKR,KKR
Sandeep Warrier,na,na,na,na,na,RCB,RCB,RCB,na,KKR,KKR,KKR,na,na,na,na,na,na
Siddhesh Lad,na,na,na,na,na,na,na,MI,MI,MI,KKR,na,na,na,na,na,MI,MI
Ben Cutting,na,na,na,na,na,na,RR,RR,MI,MI,na,KKR,na,na,na,na,SRH,SRH
Venkatesh Iyer,na,na,na,na,na,na,na,na,na,na,na,KKR,KKR,KKR,KKR,KKR,na,na
Vaibhav Arora,na,na,na,na,na,na,na,na,na,na,na,KKR,PBKS,KKR,KKR,KKR,na,na
Anukul Roy,na,na,na,na,na,na,na,na,MI,MI,MI,MI,KKR,KKR,KKR,KKR,na,na
Mohammad Nabi,na,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,KKR,MI,MI,na,na,SRH
Mayank Markande,na,na,na,na,na,na,na,na,MI,na,RR,RR,MI,SRH,na,KKR,na,na
Krunal Pandya,na,na,na,na,na,na,na,na,MI,MI,MI,MI,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,RCB,MI,MI
Mohsin Khan,na,na,na,na,na,na,na,na,MI,na,MI,MI,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,LSG,na,na
Devdutt Padikkal,na,na,na,na,na,na,na,na,na,RCB,RCB,RCB,RR,RR,RR,RCB,na,na
Aiden Markram,na,na,na,na,na,na,na,na,na,na,na,PBKS,SRH,SRH,SRH,LSG,na,na
Abdul Samad,na,na,na,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,SRH,LSG,na,na
Shahbaz Ahmed,na,na,na,na,na,na,na,na,na,na,RCB,RCB,RCB,RCB,SRH,LSG,na,na
Akash Deep,na,na,na,na,na,na,na,na,na,na,na,RCB,RCB,RCB,RCB,LSG,na,na
Sachin Tendulkar,MI,MI,MI,MI,MI,MI,na,na,na,na,na,na,na,na,na,na,na,na
Lasith Malinga,na,MI,MI,MI,MI,MI,MI,MI,na,MI,na,na,na,na,na,na,MI,MI
Sachin Rana,na,MI,na,Pune Warriors India,na,SRH,RCB,RCB,na,na,na,na,na,na,na,na,na,na
Ali Murtaza,na,MI,MI,MI,Pune Warriors India,Pune Warriors India,na,na,na,na,na,na,na,na,na,na,na,na
Kieron Pollard,na,na,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,na,na,na,MI,MI
Stuart Binny,na,na,MI,RR,RR,RR,RR,RR,RR,RR,na,na,na,na,na,na,RCB,RCB
Abu Nechim,na,na,MI,MI,MI,na,RCB,RCB,na,na,na,na,na,na,na,na,RCB,na
Yuzvendra Chahal,na,na,na,MI,MI,MI,RCB,RCB,RCB,RCB,RCB,RCB,RR,RR,RR,na,RCB,RCB
Jasprit Bumrah,na,na,na,na,na,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI
Mitchell McClenaghan,na,na,na,na,na,na,na,MI,MI,MI,MI,na,na,na,na,na,MI,MI
Abhimanyu Mithun,na,RCB,RCB,RCB,RCB,RCB,na,MI,na,na,na,na,na,na,na,na,SRH,SRH
Jitesh Sharma,na,na,na,na,na,na,na,na,na,na,na,na,PBKS,PBKS,PBKS,RCB,MI,MI
Rahul Chahar,na,na,na,na,na,na,na,na,MI,MI,MI,MI,PBKS,PBKS,PBKS,SRH,na,Rising Pune Supergiant
Anmolpreet Singh,na,na,na,na,na,na,na,na,na,MI,MI,MI,MI,SRH,SRH,SRH,na,na
Arjun Tendulkar,na,na,na,na,na,na,na,na,na,na,na,MI,MI,MI,MI,MI,na,na
Tim David,na,na,na,na,na,na,na,na,na,na,na,RCB,MI,MI,MI,RCB,na,na
Jofra Archer,na,na,na,na,na,na,na,na,RR,RR,RR,RR,MI,na,na,RR,na,na
Bhuvneshwar Kumar,na,RCB,RCB,Pune Warriors India,Pune Warriors India,Pune Warriors India,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,RCB,SRH,SRH
Kane Richardson,na,na,na,na,na,Pune Warriors India,RR,RR,na,na,na,RCB,na,na,na,na,RCB,na
Jonny Bairstow,na,na,na,na,na,na,na,na,na,SRH,SRH,SRH,PBKS,PBKS,PBKS,na,na,na
Liam Livingstone,na,na,na,na,na,na,na,na,na,RR,na,RR,PBKS,PBKS,PBKS,RCB,na,na
Pankaj Singh,RR,RCB,RCB,RR,RR,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Siddharth Trivedi,RR,RR,RR,RR,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Amit Singh,na,RR,RR,RR,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Shaun Tait,na,RR,RR,RR,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Rahul Dravid,RCB,RCB,RCB,RR,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Dishant Yagnik,na,na,na,RR,RR,RR,RR,RR,na,na,na,na,na,na,na,na,na,na
Sachin Baby,na,na,na,na,na,RR,na,na,SRH,na,na,RCB,na,na,na,SRH,RCB,RCB
Heinrich Klaasen,na,na,na,na,na,na,na,na,RR,RCB,na,na,na,SRH,SRH,SRH,na,na
Riyan Parag,na,na,na,na,na,na,na,na,na,RR,RR,RR,RR,RR,RR,RR,na,na
Yashasvi Jaiswal,na,na,na,na,na,na,na,na,na,na,RR,RR,RR,RR,RR,RR,na,na
Adam Zampa,na,na,na,na,na,na,na,na,na,na,RCB,RCB,na,RR,RR,SRH,Rising Pune Supergiants,Rising Pune Supergiant
Wanindu Hasaranga,na,na,na,na,na,na,na,na,na,na,na,RCB,RCB,RCB,SRH,RR,na,na
Virat Kohli,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB
KP Appanna,RCB,RCB,RCB,na,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Sreenath Aravind,na,RCB,na,RCB,RCB,RCB,na,RCB,na,na,na,na,na,na,na,na,RCB,RCB
